"idauniq","Paternal_Occ_Intermediate","Paternal_Occ_High","Self_Occ_Intermediate","Self_Occ_High","Education_Intermediate","Education_Degree","Wealth_Second_Tertile","Wealth_Third_Tertile","Age","Sex"
100007,0,0,1,0,1,0,1,0,60,1
100025,0,1,0,1,1,0,-99,-99,77,1
100026,0,0,1,0,1,0,1,0,66,1
100039,1,0,1,0,1,0,1,0,59,1
100048,-99,-99,0,0,0,0,-99,-99,40,2
100052,0,1,0,1,0,1,1,0,57,2
100054,0,0,0,0,1,0,0,0,59,1
100057,0,0,0,1,1,0,1,0,61,2
100071,1,0,0,1,1,0,0,1,62,1
100077,1,0,0,0,1,0,0,1,68,2
100082,0,1,0,1,0,1,0,1,56,2
100095,0,0,0,1,1,0,0,0,70,1
100096,1,0,0,0,1,0,1,0,53,2
100098,0,1,0,0,1,0,1,0,76,2
100101,0,0,0,0,1,0,-99,-99,27,2
100102,0,1,0,1,1,0,0,1,59,2
100106,0,0,1,0,1,0,0,1,46,2
101109,0,0,0,1,-99,-99,0,1,61,1
101161,-99,-99,-99,-99,0,0,0,0,61,2
101166,0,1,1,0,1,0,0,0,63,1
101544,1,0,0,1,-99,-99,0,1,63,2
101546,1,0,-99,-99,1,0,0,1,73,1
101879,0,1,0,1,0,1,0,1,70,1
102264,0,0,-99,-99,-99,-99,1,0,68,2
102333,0,0,0,1,1,0,1,0,57,2
102438,0,1,1,0,1,0,0,1,62,1
102747,-99,-99,-99,-99,-99,-99,1,0,64,2
102816,0,0,-99,-99,-99,-99,1,0,76,1
103138,0,1,0,1,1,0,0,1,62,1
103321,0,1,1,0,1,0,0,1,64,1
103481,1,0,0,1,1,0,1,0,70,1
103714,0,0,0,1,1,0,-99,-99,57,2
103724,1,0,1,0,1,0,0,0,73,2
103725,0,1,1,0,0,1,0,1,59,1
103726,0,1,0,0,1,0,0,0,59,1
103727,0,1,0,0,0,1,0,1,59,2
103729,0,1,0,0,1,0,1,0,62,2
103731,1,0,1,0,0,0,0,1,61,2
103734,1,0,0,0,1,0,0,0,63,2
103738,1,0,0,0,0,0,1,0,72,2
103747,0,1,0,1,0,1,0,1,57,1
103753,0,0,0,0,0,0,-99,-99,59,2
103754,0,1,1,0,1,0,0,1,58,2
103758,0,1,0,1,1,0,0,1,57,1
103764,1,0,1,0,1,0,0,1,61,1
103769,1,0,0,0,1,0,1,0,76,1
103770,0,0,0,1,0,1,0,1,58,1
103775,1,0,0,1,0,1,1,0,70,1
103776,0,0,0,1,1,0,0,1,67,2
103778,1,0,0,1,1,0,1,0,67,1
103783,0,0,0,0,1,0,1,0,70,2
103787,1,0,1,0,1,0,0,1,74,2
103795,0,1,0,0,0,0,0,1,66,2
103801,0,1,1,0,0,1,0,1,57,2
103802,0,1,0,0,1,0,1,0,56,2
103805,1,0,0,1,0,1,0,1,53,1
103807,0,1,1,0,0,0,0,0,73,2
103809,1,0,1,0,1,0,0,1,68,1
103815,1,0,0,1,1,0,0,1,61,1
103818,0,1,0,1,0,1,1,0,58,2
103819,1,0,1,0,1,0,1,0,71,2
103822,1,0,1,0,1,0,0,1,66,2
103825,0,0,1,0,0,0,1,0,60,2
103833,0,0,0,1,0,1,1,0,61,1
103852,0,1,0,0,1,0,0,0,57,2
103855,-99,-99,0,0,0,0,-99,-99,63,1
103857,1,0,0,0,1,0,1,0,52,2
103859,0,1,1,0,1,0,1,0,67,2
103863,0,0,0,0,1,0,0,1,59,1
103864,1,0,1,0,1,0,1,0,63,1
103865,0,1,0,0,1,0,1,0,63,2
103871,0,1,1,0,1,0,1,0,56,2
103873,0,1,0,1,0,1,1,0,50,1
103874,1,0,1,0,1,0,0,1,61,2
103877,0,1,0,1,1,0,0,1,59,2
103878,1,0,0,0,0,0,0,0,58,2
103881,0,1,1,0,0,0,0,1,75,1
103883,0,1,0,1,0,1,1,0,53,2
103886,0,1,1,0,1,0,0,1,59,2
103887,0,1,1,0,1,0,0,1,64,1
103890,1,0,0,1,1,0,1,0,64,1
103892,0,0,1,0,0,0,0,1,71,2
103895,0,0,0,0,0,0,0,0,58,1
103904,1,0,1,0,1,0,1,0,70,1
103908,0,1,0,1,1,0,1,0,63,1
103910,0,0,0,1,1,0,0,1,60,1
103911,1,0,0,1,0,0,0,1,64,1
103913,1,0,0,0,0,0,0,0,76,2
103915,-99,-99,0,0,0,0,0,0,81,2
103917,0,1,0,0,1,0,1,0,54,2
103923,1,0,0,1,0,1,1,0,52,2
103932,-99,-99,1,0,0,0,0,0,73,1
103936,0,1,0,1,1,0,-99,-99,70,1
103940,0,0,1,0,1,0,0,0,63,2
103943,0,1,0,0,1,0,0,0,60,2
103945,1,0,1,0,1,0,0,0,64,1
103949,1,0,1,0,1,0,0,0,64,2
103957,0,0,0,0,1,0,0,1,71,1
103960,0,1,0,0,1,0,0,1,69,2
103961,0,1,0,0,1,0,0,0,70,2
103965,1,0,0,1,0,1,0,1,57,1
103966,1,0,0,0,1,0,0,0,58,1
103978,0,1,0,1,0,1,0,1,61,2
103980,0,0,1,0,1,0,0,1,63,2
103991,0,1,1,0,1,0,0,1,51,2
103992,0,1,0,1,1,0,1,0,50,2
103993,0,0,0,0,0,0,0,0,64,2
103997,0,0,1,0,0,0,0,0,75,1
104001,1,0,0,0,1,0,1,0,60,1
104004,0,1,0,0,0,0,0,1,62,2
104008,1,0,0,1,1,0,1,0,76,1
104009,1,0,0,0,0,0,1,0,63,1
104010,-99,-99,-99,-99,0,1,0,1,72,1
104016,1,0,1,0,0,0,0,1,64,2
104017,0,1,0,1,1,0,0,1,71,2
104023,0,0,0,0,1,0,1,0,64,1
104030,0,1,0,1,0,1,0,1,68,2
104034,0,0,0,0,0,0,0,0,70,1
104040,0,0,0,0,0,0,1,0,73,2
104042,1,0,0,1,0,1,0,0,66,2
104044,0,1,1,0,1,0,0,1,65,2
104046,0,1,0,0,0,0,0,1,65,2
104047,1,0,0,1,0,0,0,0,66,2
104053,0,0,0,0,1,0,0,0,73,2
104054,0,1,1,0,1,0,0,1,66,2
104056,0,1,0,0,1,0,1,0,54,1
104057,1,0,0,1,0,0,0,1,67,1
104059,0,1,0,0,1,0,1,0,59,1
104065,0,0,0,0,0,0,0,0,77,2
104068,0,0,0,1,0,0,0,0,77,2
104070,1,0,0,1,0,1,0,1,64,1
104071,1,0,0,0,1,0,0,1,68,1
104074,0,1,0,0,1,0,1,0,65,2
104079,1,0,0,1,1,0,1,0,79,2
104086,1,0,0,0,1,0,0,1,62,1
104098,0,1,0,1,0,1,0,1,62,1
104101,0,1,0,0,1,0,0,1,63,2
