"idauniq","W4_Drink","W5_Drink","W6_Drink","W7_Drink","W8_Drink","Sex"
100007,2,2,2,2,2,1
100025,4,4,-99,-99,-99,1
100026,2,1,2,1,2,1
100039,-99,1,2,1,1,1
100048,1,1,-99,-99,-99,2
100052,-99,-99,-99,4,-99,2
100054,3,2,3,2,3,1
100057,1,1,2,-99,1,2
100071,4,3,4,4,4,1
100077,1,1,1,1,-99,2
100082,4,3,3,-99,3,2
100095,3,-99,2,2,-99,1
100096,1,2,1,1,1,2
100098,2,2,2,3,3,2
100101,-99,2,2,2,-99,2
100102,-99,2,3,3,3,2
100106,-99,2,2,2,-99,2
101109,2,1,2,-99,3,1
101161,-99,-99,-99,-99,-99,2
101166,1,2,2,2,1,1
101544,4,-99,3,4,3,2
101546,3,-99,3,2,3,1
101879,3,3,3,3,3,1
102264,3,3,2,-99,3,2
102333,-99,-99,-99,-99,-99,2
102438,-99,-99,-99,-99,-99,1
102747,-99,-99,-99,-99,-99,2
102816,-99,2,1,-99,-99,1
103138,2,3,3,2,2,1
103321,2,-99,-99,-99,-99,1
103481,-99,-99,-99,-99,-99,1
103714,2,3,3,3,3,2
103724,2,2,1,1,1,2
103725,2,2,2,2,2,1
103726,3,3,2,3,2,1
103727,2,3,3,3,3,2
103729,3,3,3,2,2,2
103731,2,2,2,2,2,2
103734,-99,-99,-99,-99,-99,2
103738,1,1,-99,-99,1,2
103747,3,4,4,4,4,1
103753,1,1,1,1,-99,2
103754,2,1,-99,1,1,2
103758,3,3,3,3,3,1
103764,1,1,2,2,1,1
103769,3,2,2,2,-99,1
103770,3,4,3,4,4,1
103775,2,-99,-99,-99,2,1
103776,3,2,3,2,2,2
103778,3,3,3,3,3,1
103783,-99,2,2,2,2,2
103787,3,3,2,2,-99,2
103795,2,2,2,1,2,2
103801,2,3,3,-99,2,2
103802,-99,-99,-99,-99,-99,2
103805,2,2,2,2,2,1
103807,-99,2,-99,2,1,2
103809,2,3,-99,2,4,1
103815,3,3,4,4,4,1
103818,-99,2,3,2,3,2
103819,2,2,3,2,2,2
103822,1,2,2,2,2,2
103825,3,2,2,2,1,2
103833,2,1,1,1,-99,1
103852,-99,-99,-99,-99,-99,2
103855,-99,-99,-99,2,-99,1
103857,2,2,2,1,2,2
103859,2,2,2,2,-99,2
103863,3,3,3,3,2,1
103864,2,2,2,2,-99,1
103865,2,3,3,4,2,2
103871,2,1,1,1,1,2
103873,2,2,2,2,2,1
103874,2,2,2,3,2,2
103877,2,2,2,2,2,2
103878,-99,1,1,-99,1,2
103881,3,3,3,3,3,1
103883,3,2,2,2,2,2
103886,2,3,3,2,3,2
103887,2,2,3,2,2,1
103890,-99,3,3,3,3,1
103892,3,3,2,1,1,2
103895,1,1,1,-99,1,1
103904,2,2,2,2,3,1
103908,2,2,2,1,-99,1
103910,2,2,-99,2,3,1
103911,-99,3,-99,-99,-99,1
103913,2,2,2,2,2,2
103915,1,-99,-99,-99,-99,2
103917,2,2,1,1,1,2
103923,3,1,2,2,2,2
103932,2,2,1,2,1,1
103936,-99,1,-99,-99,-99,1
103940,1,1,1,1,-99,2
103943,4,3,3,3,3,2
103945,4,4,4,4,4,1
103949,4,-99,4,-99,4,2
103957,-99,-99,-99,-99,-99,1
103960,3,3,1,3,3,2
103961,-99,-99,-99,-99,-99,2
103965,3,2,3,3,2,1
103966,3,3,-99,3,3,1
103978,3,2,2,1,2,2
103980,2,1,1,1,-99,2
103991,2,2,2,1,1,2
103992,3,2,2,2,2,2
103993,2,3,2,2,2,2
103997,2,2,2,3,2,1
104001,3,3,2,3,3,1
104004,1,1,2,1,2,2
104008,2,1,1,1,1,1
104009,2,3,-99,2,2,1
104010,1,2,1,1,1,1
104016,3,2,-99,-99,1,2
104017,3,2,3,-99,3,2
104023,-99,-99,-99,-99,-99,1
104030,-99,2,2,2,2,2
104034,-99,1,1,1,-99,1
104040,1,1,-99,-99,-99,2
104042,2,2,2,1,2,2
104044,2,1,1,1,1,2
104046,1,1,1,2,2,2
104047,4,4,4,2,4,2
104053,1,1,1,1,1,2
104054,2,2,2,2,2,2
104056,2,2,2,2,2,1
104057,3,3,3,2,2,1
104059,-99,1,-99,-99,-99,1
104065,-99,2,-99,-99,-99,2
104068,2,1,-99,1,1,2
104070,4,4,4,4,4,1
104071,2,2,2,2,2,1
104074,1,2,2,2,2,2
104079,-99,1,-99,1,-99,2
104086,2,1,1,2,2,1
104098,1,2,2,2,2,1
104101,1,1,2,1,2,2
104108,2,2,1,2,1,1
104109,2,2,3,2,3,1
104114,3,3,3,1,2,2
104127,1,2,-99,2,2,2
104128,-99,-99,-99,-99,-99,2
104130,3,3,3,2,3,1
104132,-99,-99,-99,-99,-99,2
104135,3,3,3,-99,3,1
104137,1,2,1,1,1,2
104139,2,2,2,2,3,2
104150,2,2,2,3,2,2
104162,2,1,2,2,1,2
104163,3,2,2,2,2,1
104165,1,-99,1,1,-99,2
104166,2,3,3,3,3,1
104167,-99,-99,-99,-99,-99,1
104175,3,2,2,1,2,1
104176,3,3,2,3,3,2
104179,3,3,1,2,1,2
104183,1,1,1,1,-99,2
104186,2,2,-99,2,2,2
104192,2,3,2,3,3,1
104194,3,3,3,3,3,1
104201,2,2,2,3,2,2
104202,-99,-99,-99,-99,-99,2
104209,2,2,3,2,2,1
104215,1,2,2,1,1,2
104217,-99,-99,-99,1,-99,2
104224,3,2,-99,-99,4,2
104226,-99,1,1,1,-99,2
104228,2,3,3,3,3,1
104231,2,1,2,1,-99,1
104232,3,3,3,3,3,2
104235,2,2,3,2,2,1
104242,2,3,2,3,2,1
104246,-99,-99,-99,-99,-99,2
104250,2,2,2,2,3,1
104253,2,1,-99,1,-99,2
104254,-99,1,-99,-99,-99,2
104255,2,-99,-99,-99,-99,2
104258,-99,2,2,2,3,2
104260,-99,-99,-99,-99,-99,1
104262,2,2,3,2,3,1
104269,1,2,2,2,-99,1
104285,1,2,2,2,1,2
104293,-99,-99,-99,-99,-99,2
104296,3,3,3,2,3,1
104300,2,2,2,2,2,1
104305,-99,3,2,3,3,1
104306,4,4,4,4,-99,1
104313,3,2,2,2,-99,2
104314,3,3,-99,-99,3,1
104317,2,4,3,3,-99,2
104323,2,2,-99,2,1,1
104324,1,1,1,1,2,2
104328,2,1,1,2,2,2
104329,-99,1,-99,-99,2,2
104334,2,3,3,3,2,1
104336,3,3,3,3,-99,1
104338,3,4,3,3,2,2
104341,1,2,2,-99,2,1
104345,3,3,3,3,3,1
104346,2,1,1,2,1,2
104349,2,2,2,-99,1,1
104350,4,3,2,3,4,2
104353,3,3,-99,3,-99,2
104354,2,2,2,2,-99,2
104357,2,2,1,2,2,2
104366,2,2,2,1,2,2
104372,-99,2,2,3,-99,1
104376,2,2,2,3,-99,1
104377,3,3,2,3,3,2
104381,2,3,3,2,2,1
104384,-99,-99,-99,-99,-99,1
104391,2,1,1,1,1,2
104393,1,1,1,1,1,2
104394,3,3,3,3,3,1
104397,3,3,3,3,3,1
104402,1,1,1,1,1,1
104404,2,3,4,4,3,1
104406,2,2,1,-99,-99,2
104409,3,3,3,3,2,2
104413,4,4,3,3,3,1
104417,-99,-99,-99,-99,-99,2
104420,2,2,2,2,2,2
104423,3,1,3,3,3,1
104428,2,1,2,1,2,2
104436,-99,2,2,2,-99,1
104441,1,1,-99,-99,-99,2
104443,3,3,-99,3,-99,1
104444,1,-99,1,-99,-99,2
104454,2,3,3,2,3,1
104458,2,1,2,2,1,2
104459,3,3,2,2,2,1
104464,2,1,-99,1,1,2
104466,3,-99,2,-99,2,1
104468,2,1,1,1,1,2
104469,1,1,2,1,2,1
104470,1,1,-99,1,-99,2
104473,3,3,3,2,1,2
104475,3,3,3,3,3,1
104477,1,2,2,2,1,2
104478,-99,2,2,2,1,2
104482,-99,3,2,3,2,1
104488,1,1,2,1,1,2
104489,2,2,2,2,2,2
104490,-99,2,-99,2,-99,2
104491,1,-99,-99,-99,-99,2
104492,1,2,3,-99,2,2
104496,2,2,2,2,1,1
104497,3,4,4,3,4,2
104505,3,3,3,3,3,1
104510,2,2,1,2,1,2
104511,2,2,2,2,2,2
104512,-99,-99,1,1,1,2
104517,3,2,2,2,1,2
104521,1,1,-99,1,1,2
104523,-99,-99,-99,-99,-99,1
104526,1,1,1,-99,-99,2
104528,1,1,1,1,1,1
104531,2,2,2,-99,2,1
104533,2,1,2,2,2,2
104537,3,4,3,3,3,2
104540,-99,2,2,2,2,2
104545,-99,-99,-99,-99,-99,2
104548,3,2,3,3,3,2
104553,4,4,4,4,4,2
104554,3,2,2,2,2,2
104557,1,2,2,1,1,2
104563,3,3,3,3,2,2
104564,1,1,1,-99,1,1
104566,2,2,2,2,2,1
104569,2,2,1,2,2,1
104570,2,2,3,2,2,1
104583,4,4,4,4,3,2
104586,2,3,2,2,2,2
104587,3,2,1,1,3,2
104594,2,2,-99,2,1,2
104597,2,1,2,2,2,2
104598,-99,2,3,3,3,2
104605,3,3,3,3,3,1
104607,1,1,1,2,1,2
104608,1,2,2,2,2,2
104617,-99,1,1,2,2,1
104624,-99,-99,-99,-99,-99,2
104627,3,2,2,2,2,1
104632,1,2,2,2,1,2
104634,-99,-99,-99,-99,-99,2
104642,2,2,2,2,2,1
104648,2,2,2,2,2,2
104650,3,2,3,2,3,2
104659,2,2,2,2,2,2
104666,3,3,3,3,2,1
104668,3,2,2,2,2,2
104669,3,3,3,3,2,2
104676,1,1,-99,-99,-99,2
104677,2,2,2,2,2,2
104678,3,3,2,3,3,1
104680,1,1,1,-99,-99,2
104685,2,2,1,2,1,1
104686,2,-99,-99,-99,2,1
104693,2,2,2,2,2,2
104695,2,2,1,2,1,2
104698,1,1,-99,-99,1,2
104700,-99,1,1,1,1,2
104702,2,2,2,1,2,2
104711,3,3,-99,-99,3,1
104714,1,-99,1,-99,-99,2
104715,-99,-99,2,3,3,2
